player,passes,shots,xg,pressures,recoveries,matches_played,minutes,passes_per90,shots_per90,xg_per90,pressures_per90,recoveries_per90,xg_per_shot,pressure_pass_ratio,attacking_score
Abdoul Karim Yoda,240.0,4.0,0.14,70.0,27.0,6,540,40.0,0.67,0.02,11.67,4.5,0.035,0.2916666666666667,8.211
Abdoulaye Doucouré,323.0,5.0,0.17,135.0,55.0,7,630,46.14,0.71,0.02,19.29,7.86,0.034,0.4179566563467492,9.451
Abraham González Casanova,299.0,9.0,1.22,122.0,31.0,9,810,33.22,1.0,0.14,13.56,3.44,0.13555555555555554,0.4080267558528428,7.014
Adalberto Peñaranda Maestre,104.0,4.0,0.17,97.0,21.0,8,720,13.0,0.5,0.02,12.12,2.62,0.0425,0.9326923076923077,2.7600000000000002
Aderllan Leandro de Jesus Santos,243.0,5.0,0.95,64.0,19.0,6,540,40.5,0.83,0.16,10.67,3.17,0.19,0.26337448559670784,8.429
Adil Rami,336.0,3.0,0.36,37.0,33.0,9,810,37.33,0.33,0.04,4.11,3.67,0.12,0.11011904761904762,7.585
Adrián Embarba Blázquez,243.0,13.0,0.85,91.0,26.0,8,720,30.38,1.62,0.11,11.38,3.25,0.06538461538461539,0.37448559670781895,6.617000000000001
Adrián González Morales,429.0,15.0,1.55,139.0,50.0,11,990,39.0,1.36,0.14,12.64,4.55,0.10333333333333333,0.32400932400932403,8.278
Adrián López Álvarez,207.0,6.0,2.12,71.0,13.0,9,810,23.0,0.67,0.24,7.89,1.44,0.35333333333333333,0.34299516908212563,4.921
Adrián Marín Gómez,243.0,0.0,0.0,59.0,20.0,5,450,48.6,0.0,0.0,11.8,4.0,,0.24279835390946503,9.72
Alberto De La Bella Madureño,194.0,0.0,0.0,32.0,8.0,3,270,64.67,0.0,0.0,10.67,2.67,,0.16494845360824742,12.934000000000001
Alberto Lopo García,158.0,3.0,0.2,28.0,14.0,4,360,39.5,0.75,0.05,7.0,3.5,0.06666666666666667,0.17721518987341772,8.15
Alberto Lora Ramos,498.0,3.0,0.05,101.0,35.0,10,900,49.8,0.3,0.01,10.1,3.5,0.016666666666666666,0.20281124497991967,10.055000000000001
Alberto Mateus Contreiras Gonçalves,60.0,11.0,2.24,36.0,10.0,8,720,7.5,1.38,0.28,4.5,1.25,0.20363636363636364,0.6,2.0540000000000003
Alejandro Arribas Garrido,360.0,2.0,0.12,75.0,34.0,8,720,45.0,0.25,0.01,9.38,4.25,0.06,0.20833333333333334,9.08
Alejandro Bergantiños García,217.0,5.0,0.25,75.0,20.0,5,450,43.4,1.0,0.05,15.0,4.0,0.05,0.3456221198156682,9.004999999999999
Alejandro Menéndez Díez,79.0,1.0,0.01,43.0,3.0,3,270,26.33,0.33,0.0,14.33,1.0,0.01,0.5443037974683544,5.365
Aleksandar Pantić,148.0,0.0,0.0,29.0,20.0,4,360,37.0,0.0,0.0,7.25,5.0,,0.19594594594594594,7.4
Alen Halilović,226.0,16.0,0.78,53.0,28.0,11,990,20.55,1.45,0.07,4.82,2.55,0.04875,0.2345132743362832,4.58
Alfred John Momar N''Diaye,283.0,8.0,1.37,152.0,42.0,8,720,35.38,1.0,0.17,19.0,5.25,0.17125,0.5371024734982333,7.461
Alphonse Areola,184.0,0.0,0.0,0.0,28.0,7,630,26.29,0.0,0.0,0.0,4.0,,0.0,5.258
Ander Capa Rodríguez,563.0,6.0,0.27,136.0,66.0,11,990,51.18,0.55,0.02,12.36,6.0,0.045000000000000005,0.24156305506216696,10.411000000000001
Ander Iturraspe Derteano,225.0,1.0,0.03,62.0,18.0,6,540,37.5,0.17,0.0,10.33,3.0,0.03,0.27555555555555555,7.551
André Filipe Tavares Gomes,450.0,9.0,0.6,212.0,58.0,10,900,45.0,0.9,0.06,21.2,5.8,0.06666666666666667,0.4711111111111111,9.3
Andrés Eduardo Fernández Moreno,247.0,0.0,0.0,0.0,52.0,8,720,30.88,0.0,0.0,0.0,6.5,,0.0,6.176
Antoine Griezmann,372.0,26.0,3.79,167.0,49.0,12,1080,31.0,2.17,0.32,13.92,4.08,0.14576923076923076,0.4489247311827957,7.011
Antonio Adán Garrido,237.0,0.0,0.0,0.0,23.0,8,720,29.62,0.0,0.0,0.0,2.88,,0.0,5.924
Antonio Amaya Carazo,102.0,1.0,0.02,14.0,6.0,4,360,25.5,0.25,0.01,3.5,1.5,0.02,0.13725490196078433,5.180000000000001
Antonio Barragán Fernández,254.0,0.0,0.0,90.0,22.0,6,540,42.33,0.0,0.0,15.0,3.67,,0.3543307086614173,8.466
Antonio García Aranda,249.0,1.0,0.01,48.0,17.0,5,450,49.8,0.2,0.0,9.6,3.4,0.01,0.1927710843373494,10.020000000000001
Antonio Manuel Luna Rodríguez,105.0,1.0,0.08,48.0,11.0,4,360,26.25,0.25,0.02,12.0,2.75,0.08,0.45714285714285713,5.335
Antonio Rukavina,279.0,2.0,0.05,56.0,17.0,7,630,39.86,0.29,0.01,8.0,2.43,0.025,0.2007168458781362,8.064
Aras Özbiliz,35.0,1.0,0.05,23.0,2.0,3,270,11.67,0.33,0.02,7.67,0.67,0.05,0.6571428571428571,2.443
Aritz Aduriz Zubeldia,164.0,25.0,5.59,53.0,29.0,8,720,20.5,3.12,0.7,6.62,3.63,0.2236,0.3231707317073171,5.386000000000001
Aritz Elustondo Irribaria,485.0,5.0,0.43,145.0,42.0,10,900,48.5,0.5,0.04,14.5,4.2,0.086,0.29896907216494845,9.870000000000001
Armindo Tué Na Bangna,124.0,12.0,1.12,74.0,21.0,7,630,17.71,1.71,0.16,10.57,3.0,0.09333333333333334,0.5967741935483871,4.135
Arnaldo Antonio Sanabria Ayala,239.0,16.0,2.73,128.0,26.0,10,900,23.9,1.6,0.27,12.8,2.6,0.170625,0.5355648535564853,5.3950000000000005
Asier Illarramendi Andonegi,515.0,8.0,0.42,200.0,53.0,9,810,57.22,0.89,0.05,22.22,5.89,0.0525,0.3883495145631068,11.736
Asier Riesgo Unamuno,346.0,0.0,0.0,2.0,68.0,11,990,31.45,0.0,0.0,0.18,6.18,,0.005780346820809248,6.29
Augusto Matías Fernández,274.0,3.0,0.13,158.0,39.0,8,720,34.25,0.38,0.02,19.75,4.88,0.043333333333333335,0.5766423357664233,6.974
Aymen Abdennour,173.0,0.0,0.0,34.0,19.0,4,360,43.25,0.0,0.0,8.5,4.75,,0.19653179190751446,8.65
Aymeric Laporte,365.0,4.0,0.42,56.0,22.0,6,540,60.83,0.67,0.07,9.33,3.67,0.105,0.15342465753424658,12.402000000000001
Aythami Artiles Oliva,311.0,2.0,0.19,44.0,14.0,7,630,44.43,0.29,0.03,6.29,2.0,0.095,0.1414790996784566,8.988000000000001
Benoît Trémoulinas,317.0,1.0,0.08,40.0,27.0,6,540,52.83,0.17,0.01,6.67,4.5,0.08,0.12618296529968454,10.622
Beñat Etxebarria Urkiaga,653.0,12.0,0.4,160.0,55.0,11,990,59.36,1.09,0.04,14.55,5.0,0.03333333333333333,0.2450229709035222,12.219
Borja González Tomás,235.0,36.0,5.67,222.0,28.0,12,1080,19.58,3.0,0.47,18.5,2.33,0.1575,0.9446808510638298,5.051
Borja Viguera Manzanares,73.0,5.0,0.88,41.0,9.0,4,360,18.25,1.25,0.22,10.25,2.25,0.176,0.5616438356164384,4.135000000000001
Bruno González Cabrera,245.0,4.0,0.28,82.0,23.0,7,630,35.0,0.57,0.04,11.71,3.29,0.07,0.3346938775510204,7.191
Bruno Soriano Llido,440.0,4.0,0.29,75.0,51.0,8,720,55.0,0.5,0.04,9.38,6.38,0.0725,0.17045454545454544,11.17
Carl Medjani,470.0,5.0,0.51,77.0,21.0,13,1170,36.15,0.38,0.04,5.92,1.62,0.10200000000000001,0.16382978723404254,7.364000000000001
Carles Planas Antolínez,243.0,0.0,0.0,60.0,9.0,4,360,60.75,0.0,0.0,15.0,2.25,,0.24691358024691357,12.15
Carlos Alberto Vela Garrido,325.0,18.0,1.74,114.0,36.0,10,900,32.5,1.8,0.17,11.4,3.6,0.09666666666666666,0.3507692307692308,7.125
Carlos Carmona Bonet,289.0,4.0,0.3,153.0,30.0,9,810,32.11,0.44,0.03,17.0,3.33,0.075,0.5294117647058824,6.569000000000001
Carlos Castro García,97.0,11.0,2.93,51.0,19.0,10,900,9.7,1.1,0.29,5.1,1.9,0.26636363636363636,0.5257731958762887,2.415
Carlos Gurpegi Nausia,136.0,1.0,0.02,16.0,9.0,4,360,34.0,0.25,0.01,4.0,2.25,0.02,0.11764705882352941,6.880000000000001
Carlos Henrique Casimiro,155.0,3.0,0.37,87.0,15.0,4,360,38.75,0.75,0.09,21.75,3.75,0.12333333333333334,0.5612903225806452,8.02
Carlos Martín Vigaray,101.0,2.0,0.22,48.0,10.0,3,270,33.67,0.67,0.07,16.0,3.33,0.11,0.4752475247524752,6.970000000000001
Celso Borges Mora,421.0,6.0,0.71,123.0,31.0,10,900,42.1,0.6,0.07,12.3,3.1,0.11833333333333333,0.2921615201900237,8.635
Charles Días Barbosa de Oliveira,325.0,29.0,3.71,158.0,27.0,12,1080,27.08,2.42,0.31,13.17,2.25,0.1279310344827586,0.48615384615384616,6.297000000000001
Charly Musonda Junior,230.0,11.0,0.46,142.0,42.0,9,810,25.56,1.22,0.05,15.78,4.67,0.04181818181818182,0.6173913043478261,5.503
Christian Atsu Twasam,98.0,6.0,0.61,37.0,12.0,9,810,10.89,0.67,0.07,4.11,1.33,0.10166666666666667,0.37755102040816324,2.4140000000000006
Claudio Beauvue,43.0,3.0,0.3,32.0,10.0,5,450,8.6,0.6,0.06,6.4,2.0,0.09999999999999999,0.7441860465116279,1.93
Claudio Matías Kranevitter,93.0,1.0,0.03,46.0,14.0,5,450,18.6,0.2,0.01,9.2,2.8,0.03,0.4946236559139785,3.7850000000000006
Cristiano Biraghi,383.0,4.0,0.05,69.0,25.0,8,720,47.88,0.5,0.01,8.62,3.12,0.0125,0.1801566579634465,9.731
Cristiano Ronaldo dos Santos Aveiro,258.0,54.0,9.05,36.0,14.0,8,720,32.25,6.75,1.13,4.5,1.75,0.1675925925925926,0.13953488372093023,9.04
Cédric Bakambu,139.0,15.0,2.74,86.0,8.0,10,900,13.9,1.5,0.27,8.6,0.8,0.18266666666666667,0.6187050359712231,3.365
Damián Nicolás Suárez Suárez,332.0,0.0,0.0,122.0,32.0,7,630,47.43,0.0,0.0,17.43,4.57,,0.3674698795180723,9.486
Dani Castellano Betancor,267.0,1.0,0.11,70.0,19.0,6,540,44.5,0.17,0.02,11.67,3.17,0.11,0.26217228464419473,8.961
Daniel Arnaud N''Di	,76.0,4.0,0.41,30.0,11.0,7,630,10.86,0.57,0.06,4.29,1.57,0.1025,0.39473684210526316,2.373
Daniel Carvajal Ramos,450.0,1.0,0.02,80.0,30.0,6,540,75.0,0.17,0.0,13.33,5.0,0.02,0.17777777777777778,15.051
Daniel Ceballos Fernández,417.0,7.0,0.38,187.0,55.0,9,810,46.33,0.78,0.04,20.78,6.11,0.054285714285714284,0.44844124700239807,9.52
Daniel Filipe Martins Carriço,314.0,4.0,0.5,87.0,26.0,8,720,39.25,0.5,0.06,10.88,3.25,0.125,0.2770700636942675,8.030000000000001
Daniel García Carrillo,537.0,6.0,0.16,148.0,66.0,10,900,53.7,0.6,0.02,14.8,6.6,0.02666666666666667,0.2756052141527002,10.930000000000001
Daniel Parejo Muñoz,498.0,14.0,1.21,270.0,53.0,8,720,62.25,1.75,0.15,33.75,6.62,0.08642857142857142,0.5421686746987951,13.05
Daniel Wass,334.0,11.0,1.06,80.0,24.0,8,720,41.75,1.38,0.13,10.0,3.0,0.09636363636363637,0.23952095808383234,8.828999999999999
Daniele Bonera,234.0,2.0,0.19,41.0,9.0,5,450,46.8,0.4,0.04,8.2,1.8,0.095,0.1752136752136752,9.5
Danilo Barbosa da Silva,117.0,3.0,0.15,72.0,17.0,4,360,29.25,0.75,0.04,18.0,4.25,0.049999999999999996,0.6153846153846154,6.095000000000001
Danilo Luiz da Silva,236.0,3.0,0.1,42.0,16.0,3,270,78.67,1.0,0.03,14.0,5.33,0.03333333333333333,0.17796610169491525,16.049000000000003
David Barral Torres,49.0,8.0,1.19,39.0,3.0,6,540,8.17,1.33,0.2,6.5,0.5,0.14875,0.7959183673469388,2.133
David García Santana,390.0,3.0,0.43,63.0,11.0,8,720,48.75,0.38,0.05,7.87,1.38,0.14333333333333334,0.16153846153846155,9.889
David Juncà Reñé,507.0,0.0,0.0,153.0,38.0,12,1080,42.25,0.0,0.0,12.75,3.17,,0.30177514792899407,8.450000000000001
David Navarro Pedrós,250.0,1.0,0.06,27.0,12.0,7,630,35.71,0.14,0.01,3.86,1.71,0.06,0.108,7.189
David Rodríguez Lombán,121.0,0.0,0.0,22.0,5.0,3,270,40.33,0.0,0.0,7.33,1.67,,0.18181818181818182,8.066
David Simón Rodríguez Santana,183.0,1.0,0.05,47.0,7.0,5,450,36.6,0.2,0.01,9.4,1.4,0.05,0.2568306010928962,7.385000000000001
David Zurutuza Veillet,240.0,6.0,0.2,95.0,41.0,7,630,34.29,0.86,0.03,13.57,5.86,0.03333333333333333,0.3958333333333333,7.131
Denis Cheryshev,108.0,8.0,0.57,83.0,11.0,4,360,27.0,2.0,0.14,20.75,2.75,0.07125,0.7685185185185185,6.07
Denis Suárez Fernández,314.0,8.0,0.63,118.0,40.0,9,810,34.89,0.89,0.07,13.11,4.44,0.07875,0.37579617834394907,7.280000000000001
Deyverson Brum Silva Acosta,260.0,27.0,3.57,183.0,37.0,13,1170,20.0,2.08,0.27,14.08,2.85,0.1322222222222222,0.7038461538461539,4.759
Diego Alves Carreira,256.0,0.0,0.0,0.0,31.0,8,720,32.0,0.0,0.0,0.0,3.88,,0.0,6.4
Diego Antonio Reyes Rosales,477.0,5.0,0.47,119.0,46.0,11,990,43.36,0.45,0.04,10.82,4.18,0.094,0.24947589098532494,8.827
Diego Javier Llorente Ríos,349.0,5.0,0.38,75.0,32.0,7,630,49.86,0.71,0.05,10.71,4.57,0.076,0.2148997134670487,10.21
Diego Mariño Villar,480.0,0.0,0.0,1.0,77.0,13,1170,36.92,0.0,0.0,0.08,5.92,,0.0020833333333333333,7.384
Diego Roberto Godín Leal,267.0,9.0,1.26,61.0,28.0,8,720,33.38,1.12,0.16,7.62,3.5,0.14,0.22846441947565543,7.092000000000001
Dimitri Foulquier,112.0,2.0,0.07,40.0,10.0,5,450,22.4,0.4,0.01,8.0,2.0,0.035,0.35714285714285715,4.6049999999999995
Duje Čop,280.0,24.0,4.93,153.0,30.0,11,990,25.45,2.18,0.45,13.91,2.73,0.20541666666666666,0.5464285714285714,5.968999999999999
Edgar Antonio Méndez Ortega,49.0,1.0,0.17,37.0,6.0,4,360,12.25,0.25,0.04,9.25,1.5,0.17,0.7551020408163265,2.5450000000000004
Egor Filipenko,58.0,5.0,0.32,22.0,7.0,3,270,19.33,1.67,0.11,7.33,2.33,0.064,0.3793103448275862,4.422
Emiliano Buendía,217.0,7.0,0.31,124.0,32.0,7,630,31.0,1.0,0.04,17.71,4.57,0.04428571428571428,0.5714285714285714,6.5200000000000005
Emiliano Daniel Velázquez Maldonado,70.0,3.0,0.67,31.0,7.0,3,270,23.33,1.0,0.22,10.33,2.33,0.22333333333333336,0.44285714285714284,5.076
Eneko Bóveda Altube,462.0,2.0,0.12,96.0,37.0,8,720,57.75,0.25,0.01,12.0,4.62,0.06,0.2077922077922078,11.63
Enzo Nicolás Pérez,136.0,0.0,0.0,41.0,12.0,5,450,27.2,0.0,0.0,8.2,2.4,,0.3014705882352941,5.44
Enzo Pablo Roco Roco,203.0,3.0,0.18,72.0,15.0,10,900,20.3,0.3,0.02,7.2,1.5,0.06,0.35467980295566504,4.16
Eric Bertrand Bailly,317.0,1.0,0.18,67.0,37.0,9,810,35.22,0.11,0.02,7.44,4.11,0.18,0.2113564668769716,7.087000000000001
Esteban Félix Granero Molina,132.0,6.0,0.2,67.0,15.0,7,630,18.86,0.86,0.03,9.57,2.14,0.03333333333333333,0.5075757575757576,4.045
Fabián Ariel Orellana Valenzuela,351.0,12.0,2.14,62.0,39.0,6,540,58.5,2.0,0.36,10.33,6.5,0.17833333333333334,0.17663817663817663,12.48
Fabián Ruiz Peña,57.0,1.0,0.01,31.0,9.0,5,450,11.4,0.2,0.0,6.2,1.8,0.01,0.543859649122807,2.3400000000000003
Fayçal Fajr,438.0,13.0,0.35,129.0,39.0,10,900,43.8,1.3,0.04,12.9,3.9,0.02692307692307692,0.2945205479452055,9.17
Federico Nicolás Cartabia,275.0,18.0,1.27,153.0,48.0,8,720,34.38,2.25,0.16,19.12,6.0,0.07055555555555555,0.5563636363636364,7.631000000000001
Federico Ricca Rostagnol,303.0,2.0,0.32,80.0,30.0,7,630,43.29,0.29,0.05,11.43,4.29,0.16,0.264026402640264,8.77
Felipe Salvador Caicedo Corozo,60.0,4.0,0.37,41.0,2.0,6,540,10.0,0.67,0.06,6.83,0.33,0.0925,0.6833333333333333,2.231
Fernando José Torres Sanz,167.0,22.0,2.72,118.0,26.0,10,900,16.7,2.2,0.27,11.8,2.6,0.12363636363636364,0.7065868263473054,4.135
Fernando Llorente Torres,111.0,14.0,2.24,64.0,7.0,5,450,22.2,2.8,0.45,12.8,1.4,0.16,0.5765765765765766,5.505000000000001
Fernando Navarro i Corbacho,385.0,1.0,0.02,88.0,35.0,8,720,48.12,0.12,0.0,11.0,4.38,0.02,0.22857142857142856,9.66
Filipe Luís Kasmirski,701.0,1.0,0.04,177.0,60.0,11,990,63.73,0.09,0.0,16.09,5.45,0.04,0.2524964336661912,12.773
Foued Kadir,125.0,6.0,0.18,37.0,22.0,3,270,41.67,2.0,0.06,12.33,7.33,0.03,0.296,8.964000000000002
Francisco Alcácer García,166.0,21.0,3.82,133.0,16.0,10,900,16.6,2.1,0.38,13.3,1.6,0.1819047619047619,0.8012048192771084,4.140000000000001
Francisco Guillermo Ochoa Magaña,258.0,0.0,0.0,2.0,44.0,10,900,25.8,0.0,0.0,0.2,4.4,,0.007751937984496124,5.16
Francisco José Molinero Calderón,124.0,1.0,0.07,52.0,13.0,4,360,31.0,0.25,0.02,13.0,3.25,0.07,0.41935483870967744,6.285
Francisco José Perdomo Borges,87.0,3.0,0.08,50.0,18.0,5,450,17.4,0.6,0.02,10.0,3.6,0.02666666666666667,0.5747126436781609,3.67
